game_id,status,location,division,start_utc,start_local,home,away,box_score_url,summary_url,home_line,away_line,home_score,away_score,datetime,date,time
3276524,scheduled,Amherst,,2025-11-26T00:45:00+00:00,2025-11-25T20:45:00-04:00,J&K Electric,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276524&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2025-11-25T20:45:00-04:00,11/25/2025,8:45 PM
3276526,scheduled,Amherst,,2025-11-26T02:00:00+00:00,2025-11-25T22:00:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276526&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2025-11-25T22:00:00-04:00,11/25/2025,10:00 PM
3276530,scheduled,Amherst,,2025-12-01T01:00:00+00:00,2025-11-30T21:00:00-04:00,Ultramar,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276530&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2025-11-30T21:00:00-04:00,11/30/2025,9:00 PM
3276697,scheduled,Amherst,,2025-12-03T00:45:00+00:00,2025-12-02T20:45:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276697&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-02T20:45:00-04:00,12/02/2025,8:45 PM
3276695,scheduled,Amherst,,2025-12-03T02:00:00+00:00,2025-12-02T22:00:00-04:00,J&K Electric,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276695&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-02T22:00:00-04:00,12/02/2025,10:00 PM
3276693,scheduled,Amherst,,2025-12-08T01:00:00+00:00,2025-12-07T21:00:00-04:00,J&K Electric,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276693&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-07T21:00:00-04:00,12/07/2025,9:00 PM
3276463,scheduled,Amherst,,2025-12-10T00:45:00+00:00,2025-12-09T20:45:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276463&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-09T20:45:00-04:00,12/09/2025,8:45 PM
3276461,scheduled,Amherst,,2025-12-10T02:00:00+00:00,2025-12-09T22:00:00-04:00,Colson Overhead Doors,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276461&u=DSMALL&s=hockey&p=preview,,"{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-09T22:00:00-04:00,12/09/2025,10:00 PM
3276548,scheduled,Amherst,,2025-12-15T01:00:00+00:00,2025-12-14T21:00:00-04:00,G.R. Mitchell Welding,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276548&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-14T21:00:00-04:00,12/14/2025,9:00 PM
3276552,scheduled,Amherst,,2025-12-17T00:45:00+00:00,2025-12-16T20:45:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276552&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2025-12-16T20:45:00-04:00,12/16/2025,8:45 PM
